/home/neet/.pyenv/versions/3.13.12/lib/python3.13/site-packages/stable_baselines3/common/on_policy_algorithm.py:150: UserWarning: You are trying to run TRPO on the GPU, but it is primarily intended to run on the CPU when not using a CNN policy (you are using ActorCriticPolicy which should be a MlpPolicy). See https://github.com/DLR-RM/stable-baselines3/issues/1245 for more info. You can pass `device='cpu'` or `export CUDA_VISIBLE_DEVICES=` to force using the CPU.Note: The model will train, but the GPU utilization will be poor and the training might take longer than on CPU.
  warnings.warn(
============================================================
 SeqSQLi v2 — TRPO Training
 URL         : http://localhost:8888/Less-1/
 Filter type : none
 Mode        : online-WAF (dual-signal: union+error)
 Payload pool: 108 validated from payloads_union_less1.csv
               (union=108, error=0)
 Timesteps   : 150000
 Target KL   : 0.01
 Seed        : 3
============================================================
  Ep 2540 | SR=0% | Steps=15.0 | R=-12.21
  Ep 2550 | SR=0% | Steps=15.0 | R=-8.28
  Ep 2560 | SR=0% | Steps=15.0 | R=-7.91
  Ep 2570 | SR=0% | Steps=15.0 | R=-16.56
  Ep 2580 | SR=0% | Steps=15.0 | R=-19.53
  Ep 2590 | SR=0% | Steps=15.0 | R=-14.02
  Ep 2600 | SR=0% | Steps=15.0 | R=-15.09
  Ep 2610 | SR=0% | Steps=15.0 | R=-24.98
  Ep 2620 | SR=0% | Steps=15.0 | R=-10.19
  Ep 2630 | SR=0% | Steps=15.0 | R=-21.44
  Ep 2640 | SR=0% | Steps=15.0 | R=-13.10
  Ep 2650 | SR=0% | Steps=15.0 | R=-8.71
  Ep 2660 | SR=0% | Steps=15.0 | R=-15.27
  Ep 2670 | SR=0% | Steps=15.0 | R=-17.88
  Ep 2680 | SR=0% | Steps=15.0 | R=-17.37
  Ep 2690 | SR=0% | Steps=15.0 | R=-23.14
  Ep 2700 | SR=0% | Steps=15.0 | R=-6.66
  Ep 2710 | SR=0% | Steps=15.0 | R=-4.38
  Ep 2720 | SR=0% | Steps=15.0 | R=-8.41
  Ep 2730 | SR=0% | Steps=15.0 | R=-23.61
  Ep 2740 | SR=0% | Steps=15.0 | R=-24.76
  Ep 2750 | SR=0% | Steps=15.0 | R=-7.77
  Ep 2760 | SR=0% | Steps=15.0 | R=-14.99
  Ep 2770 | SR=0% | Steps=15.0 | R=-11.00
  Ep 2780 | SR=0% | Steps=15.0 | R=-20.64
  Ep 2790 | SR=0% | Steps=15.0 | R=-4.56
  Ep 2800 | SR=0% | Steps=15.0 | R=-7.88
  Ep 2810 | SR=0% | Steps=15.0 | R=-14.58
  Ep 2820 | SR=0% | Steps=15.0 | R=-7.99
  Ep 2830 | SR=0% | Steps=15.0 | R=-10.68
  Ep 2840 | SR=0% | Steps=15.0 | R=-9.23
  Ep 2850 | SR=0% | Steps=15.0 | R=-8.72
  Ep 2860 | SR=0% | Steps=15.0 | R=-10.76
  Ep 2870 | SR=0% | Steps=15.0 | R=-10.27
  Ep 2880 | SR=0% | Steps=15.0 | R=-18.35
  Ep 2890 | SR=0% | Steps=15.0 | R=-10.59
  Ep 2900 | SR=0% | Steps=15.0 | R=-16.02
  Ep 2910 | SR=0% | Steps=15.0 | R=-7.85
  Ep 2920 | SR=0% | Steps=15.0 | R=-7.16
  Ep 2930 | SR=0% | Steps=15.0 | R=-4.09
  Ep 2940 | SR=0% | Steps=15.0 | R=-15.03
  Ep 2950 | SR=0% | Steps=15.0 | R=-4.12
  Ep 2960 | SR=0% | Steps=15.0 | R=-7.47
  Ep 2970 | SR=0% | Steps=15.0 | R=-19.14
  Ep 2980 | SR=0% | Steps=15.0 | R=-17.90
  Ep 2990 | SR=0% | Steps=15.0 | R=-21.04
  Ep 3000 | SR=0% | Steps=15.0 | R=-13.39
  Ep 3010 | SR=0% | Steps=15.0 | R=-7.75
  Ep 3020 | SR=0% | Steps=15.0 | R=-8.00
  Ep 3030 | SR=0% | Steps=15.0 | R=-9.98
  Ep 3040 | SR=0% | Steps=15.0 | R=-11.01
  Ep 3050 | SR=0% | Steps=15.0 | R=-18.68
  Ep 3060 | SR=0% | Steps=15.0 | R=-15.94
  Ep 3070 | SR=0% | Steps=15.0 | R=-23.77
  Ep 3080 | SR=0% | Steps=15.0 | R=-6.46
  Ep 3090 | SR=0% | Steps=15.0 | R=-15.69
  Ep 3100 | SR=0% | Steps=15.0 | R=-14.43
  Ep 3110 | SR=0% | Steps=15.0 | R=-18.01
  Ep 3120 | SR=0% | Steps=15.0 | R=-14.27
  Ep 3130 | SR=0% | Steps=15.0 | R=-11.49
  Ep 3140 | SR=0% | Steps=15.0 | R=-11.47
  Ep 3150 | SR=0% | Steps=15.0 | R=-10.63
  Ep 3160 | SR=0% | Steps=15.0 | R=-18.24
  Ep 3170 | SR=0% | Steps=15.0 | R=-5.70
  Ep 3180 | SR=0% | Steps=15.0 | R=-22.39
  Ep 3190 | SR=0% | Steps=15.0 | R=-17.75
  Ep 3200 | SR=0% | Steps=15.0 | R=-20.06
  Ep 3210 | SR=0% | Steps=15.0 | R=-5.47
  Ep 3220 | SR=0% | Steps=15.0 | R=-6.22
  Ep 3230 | SR=0% | Steps=15.0 | R=-17.36
  Ep 3240 | SR=0% | Steps=15.0 | R=-17.27
  Ep 3250 | SR=0% | Steps=15.0 | R=-24.69
  Ep 3260 | SR=0% | Steps=15.0 | R=-12.33
  Ep 3270 | SR=0% | Steps=15.0 | R=-8.98
  Ep 3280 | SR=0% | Steps=15.0 | R=-9.45
  Ep 3290 | SR=0% | Steps=15.0 | R=-11.26
  Ep 3300 | SR=0% | Steps=15.0 | R=-13.09
  Ep 3310 | SR=0% | Steps=15.0 | R=-21.61
  Ep 3320 | SR=0% | Steps=15.0 | R=-10.54
  Ep 3330 | SR=0% | Steps=15.0 | R=-16.83
  Ep 3340 | SR=0% | Steps=15.0 | R=-16.07
  Ep 3350 | SR=0% | Steps=15.0 | R=-10.40
  Ep 3360 | SR=0% | Steps=15.0 | R=-10.04
  Ep 3370 | SR=0% | Steps=15.0 | R=-15.55
  Ep 3380 | SR=0% | Steps=15.0 | R=-12.86
  Ep 3390 | SR=0% | Steps=15.0 | R=-5.69
  Ep 3400 | SR=0% | Steps=15.0 | R=-10.47
  Ep 3410 | SR=0% | Steps=15.0 | R=-12.99
  Ep 3420 | SR=0% | Steps=15.0 | R=-9.27
  Ep 3430 | SR=0% | Steps=15.0 | R=-4.01
  Ep 3440 | SR=0% | Steps=15.0 | R=-7.61
  Ep 3450 | SR=0% | Steps=15.0 | R=-11.05
  Ep 3460 | SR=0% | Steps=15.0 | R=-13.99
  Ep 3470 | SR=0% | Steps=15.0 | R=-7.97
  Ep 3480 | SR=0% | Steps=15.0 | R=-11.63
  Ep 3490 | SR=0% | Steps=15.0 | R=-10.62
  Ep 3500 | SR=0% | Steps=15.0 | R=-10.71
  Ep 3510 | SR=0% | Steps=15.0 | R=-21.10
  Ep 3520 | SR=0% | Steps=15.0 | R=-7.13
  Ep 3530 | SR=0% | Steps=15.0 | R=-11.74
  Ep 3540 | SR=0% | Steps=15.0 | R=-3.71
  Ep 3550 | SR=0% | Steps=15.0 | R=-18.19
  Ep 3560 | SR=0% | Steps=15.0 | R=-12.42
  Ep 3570 | SR=0% | Steps=15.0 | R=-7.90
  Ep 3580 | SR=0% | Steps=15.0 | R=-3.50
  Ep 3590 | SR=0% | Steps=15.0 | R=-24.01
  Ep 3600 | SR=0% | Steps=15.0 | R=-6.73
  Ep 3610 | SR=0% | Steps=15.0 | R=-13.91
  Ep 3620 | SR=0% | Steps=15.0 | R=-13.68
  Ep 3630 | SR=0% | Steps=15.0 | R=-21.77
  Ep 3640 | SR=0% | Steps=15.0 | R=-17.91
  Ep 3650 | SR=0% | Steps=15.0 | R=-10.19
  Ep 3660 | SR=0% | Steps=15.0 | R=-14.54
  Ep 3670 | SR=0% | Steps=15.0 | R=-8.54
  Ep 3680 | SR=0% | Steps=15.0 | R=-23.62
  Ep 3690 | SR=0% | Steps=15.0 | R=-13.54
  Ep 3700 | SR=0% | Steps=15.0 | R=-7.93
  Ep 3710 | SR=0% | Steps=15.0 | R=-12.90
  Ep 3720 | SR=0% | Steps=15.0 | R=-14.37
  Ep 3730 | SR=0% | Steps=15.0 | R=-9.36
  Ep 3740 | SR=0% | Steps=15.0 | R=-10.75
  Ep 3750 | SR=0% | Steps=15.0 | R=-15.20
  Ep 3760 | SR=0% | Steps=15.0 | R=-14.05
  Ep 3770 | SR=0% | Steps=15.0 | R=-15.16
  Ep 3780 | SR=0% | Steps=15.0 | R=-11.54
