/home/neet/.pyenv/versions/3.13.12/lib/python3.13/site-packages/stable_baselines3/common/on_policy_algorithm.py:150: UserWarning: You are trying to run A2C on the GPU, but it is primarily intended to run on the CPU when not using a CNN policy (you are using ActorCriticPolicy which should be a MlpPolicy). See https://github.com/DLR-RM/stable-baselines3/issues/1245 for more info. You can pass `device='cpu'` or `export CUDA_VISIBLE_DEVICES=` to force using the CPU.Note: The model will train, but the GPU utilization will be poor and the training might take longer than on CPU.
  warnings.warn(
============================================================
 SeqSQLi v2 — A2C Training
 URL         : http://localhost:8888/Less-1/
 Filter type : none
 Mode        : online-WAF (dual-signal: union+error)
 Payload pool: 108 validated from payloads_union_less1.csv
               (union=108, error=0)
 Timesteps   : 150000
 Rollout     : n_steps=5 (synchronous A3C variant)
 Seed        : 3
============================================================
  Ep 2040 | SR=0% | Steps=15.0 | R=-14.02
  Ep 2050 | SR=0% | Steps=15.0 | R=-17.09
  Ep 2060 | SR=0% | Steps=15.0 | R=-4.18
  Ep 2070 | SR=0% | Steps=15.0 | R=-12.40
  Ep 2080 | SR=0% | Steps=15.0 | R=-16.10
  Ep 2090 | SR=0% | Steps=15.0 | R=-17.66
  Ep 2100 | SR=0% | Steps=15.0 | R=-17.13
  Ep 2110 | SR=0% | Steps=15.0 | R=-18.49
  Ep 2120 | SR=0% | Steps=15.0 | R=-4.55
  Ep 2130 | SR=0% | Steps=15.0 | R=-16.29
  Ep 2140 | SR=0% | Steps=15.0 | R=-12.11
  Ep 2150 | SR=0% | Steps=15.0 | R=-9.11
  Ep 2160 | SR=0% | Steps=15.0 | R=-9.37
  Ep 2170 | SR=0% | Steps=15.0 | R=-8.02
  Ep 2180 | SR=0% | Steps=15.0 | R=-17.78
  Ep 2190 | SR=0% | Steps=15.0 | R=-17.81
  Ep 2200 | SR=0% | Steps=15.0 | R=-16.27
  Ep 2210 | SR=0% | Steps=15.0 | R=-24.87
  Ep 2220 | SR=0% | Steps=15.0 | R=-20.46
  Ep 2230 | SR=0% | Steps=15.0 | R=-12.76
  Ep 2240 | SR=0% | Steps=15.0 | R=-15.77
  Ep 2250 | SR=0% | Steps=15.0 | R=-16.51
  Ep 2260 | SR=0% | Steps=15.0 | R=-20.85
  Ep 2270 | SR=0% | Steps=15.0 | R=-7.66
  Ep 2280 | SR=0% | Steps=15.0 | R=-8.81
  Ep 2290 | SR=0% | Steps=15.0 | R=-20.12
  Ep 2300 | SR=0% | Steps=15.0 | R=-12.31
  Ep 2310 | SR=0% | Steps=15.0 | R=-16.61
  Ep 2320 | SR=0% | Steps=15.0 | R=-16.76
  Ep 2330 | SR=0% | Steps=15.0 | R=-8.64
  Ep 2340 | SR=0% | Steps=15.0 | R=-13.57
  Ep 2350 | SR=0% | Steps=15.0 | R=-0.38
  Ep 2360 | SR=0% | Steps=15.0 | R=-12.28
  Ep 2370 | SR=0% | Steps=15.0 | R=-8.60
  Ep 2380 | SR=0% | Steps=15.0 | R=-16.70
  Ep 2390 | SR=0% | Steps=15.0 | R=-17.23
  Ep 2400 | SR=0% | Steps=15.0 | R=-31.21
  Ep 2410 | SR=0% | Steps=15.0 | R=-8.60
  Ep 2420 | SR=0% | Steps=15.0 | R=-9.22
  Ep 2430 | SR=0% | Steps=15.0 | R=-12.81
  Ep 2440 | SR=0% | Steps=15.0 | R=-13.19
  Ep 2450 | SR=0% | Steps=15.0 | R=-8.78
  Ep 2460 | SR=0% | Steps=15.0 | R=-4.76
  Ep 2470 | SR=0% | Steps=15.0 | R=-9.46
  Ep 2480 | SR=0% | Steps=15.0 | R=-9.07
  Ep 2490 | SR=0% | Steps=15.0 | R=-28.90
  Ep 2500 | SR=0% | Steps=15.0 | R=-24.54
  Ep 2510 | SR=0% | Steps=15.0 | R=-12.91
  Ep 2520 | SR=0% | Steps=15.0 | R=-13.25
  Ep 2530 | SR=0% | Steps=15.0 | R=-21.36
  Ep 2540 | SR=0% | Steps=15.0 | R=-15.66
  Ep 2550 | SR=0% | Steps=15.0 | R=-17.88
  Ep 2560 | SR=0% | Steps=15.0 | R=-4.99
  Ep 2570 | SR=0% | Steps=15.0 | R=-16.30
  Ep 2580 | SR=0% | Steps=15.0 | R=-12.98
  Ep 2590 | SR=0% | Steps=15.0 | R=-12.91
  Ep 2600 | SR=0% | Steps=15.0 | R=-14.20
  Ep 2610 | SR=0% | Steps=15.0 | R=-14.07
  Ep 2620 | SR=0% | Steps=15.0 | R=-8.69
  Ep 2630 | SR=0% | Steps=15.0 | R=-5.15
  Ep 2640 | SR=0% | Steps=15.0 | R=-8.55
  Ep 2650 | SR=0% | Steps=15.0 | R=-17.99
  Ep 2660 | SR=0% | Steps=15.0 | R=-17.59
  Ep 2670 | SR=0% | Steps=15.0 | R=-12.77
  Ep 2680 | SR=0% | Steps=15.0 | R=-9.36
  Ep 2690 | SR=0% | Steps=15.0 | R=-21.90
  Ep 2700 | SR=0% | Steps=15.0 | R=-5.06
  Ep 2710 | SR=0% | Steps=15.0 | R=-19.32
  Ep 2720 | SR=0% | Steps=15.0 | R=-20.61
  Ep 2730 | SR=0% | Steps=15.0 | R=-9.96
  Ep 2740 | SR=0% | Steps=15.0 | R=-9.03
  Ep 2750 | SR=0% | Steps=15.0 | R=-17.19
  Ep 2760 | SR=0% | Steps=15.0 | R=-11.66
  Ep 2770 | SR=0% | Steps=15.0 | R=-18.41
  Ep 2780 | SR=0% | Steps=15.0 | R=-12.80
  Ep 2790 | SR=0% | Steps=15.0 | R=-4.71
  Ep 2800 | SR=0% | Steps=15.0 | R=-14.81
  Ep 2810 | SR=0% | Steps=15.0 | R=-19.23
  Ep 2820 | SR=0% | Steps=15.0 | R=-12.72
  Ep 2830 | SR=0% | Steps=15.0 | R=-15.82
  Ep 2840 | SR=0% | Steps=15.0 | R=-12.07
  Ep 2850 | SR=0% | Steps=15.0 | R=-12.64
  Ep 2860 | SR=0% | Steps=15.0 | R=-15.95
  Ep 2870 | SR=0% | Steps=15.0 | R=-26.95
  Ep 2880 | SR=0% | Steps=15.0 | R=-11.52
  Ep 2890 | SR=0% | Steps=15.0 | R=-8.97
  Ep 2900 | SR=0% | Steps=15.0 | R=-22.38
  Ep 2910 | SR=0% | Steps=15.0 | R=-20.29
  Ep 2920 | SR=0% | Steps=15.0 | R=-17.13
  Ep 2930 | SR=0% | Steps=15.0 | R=-16.79
  Ep 2940 | SR=0% | Steps=15.0 | R=-12.20
  Ep 2950 | SR=0% | Steps=15.0 | R=-8.86
  Ep 2960 | SR=0% | Steps=15.0 | R=-14.17
  Ep 2970 | SR=0% | Steps=15.0 | R=-8.32
  Ep 2980 | SR=0% | Steps=15.0 | R=-22.28
  Ep 2990 | SR=0% | Steps=15.0 | R=-12.18
  Ep 3000 | SR=0% | Steps=15.0 | R=-9.74
  Ep 3010 | SR=0% | Steps=15.0 | R=-16.52
  Ep 3020 | SR=0% | Steps=15.0 | R=-12.56
  Ep 3030 | SR=0% | Steps=15.0 | R=-14.32
  Ep 3040 | SR=0% | Steps=15.0 | R=-16.73
  Ep 3050 | SR=0% | Steps=15.0 | R=-11.94
  Ep 3060 | SR=0% | Steps=15.0 | R=-8.22
  Ep 3070 | SR=0% | Steps=15.0 | R=-16.94
  Ep 3080 | SR=0% | Steps=15.0 | R=-8.74
  Ep 3090 | SR=0% | Steps=15.0 | R=-15.75
  Ep 3100 | SR=0% | Steps=15.0 | R=-17.61
  Ep 3110 | SR=0% | Steps=15.0 | R=-9.48
  Ep 3120 | SR=0% | Steps=15.0 | R=-19.81
  Ep 3130 | SR=0% | Steps=15.0 | R=-15.33
  Ep 3140 | SR=0% | Steps=15.0 | R=-13.33
